date,station_pk,fuel,price
2021-01-05,829,100,1.176
2021-01-05,829,95,1.024
2021-01-05,830,100,1.176
2021-01-05,830,95,1.024
2021-01-05,831,100,1.176
2021-01-05,831,95,1.024
2021-01-05,832,95,1.024
2021-01-05,833,100,1.176
2021-01-05,833,95,1.024
2021-01-05,834,100,1.176
2021-01-05,834,95,1.024
2021-01-05,835,100,1.176
2021-01-05,835,95,1.024
2021-01-05,836,100,1.176
2021-01-05,836,95,1.024
2021-01-05,837,100,1.249
2021-01-05,837,95,1.069
2021-01-05,838,100,1.176
2021-01-05,838,95,1.024
2021-01-05,839,100,1.176
2021-01-05,839,95,1.024
2021-01-05,840,100,1.176
2021-01-05,840,95,1.024
2021-01-05,841,100,1.176
2021-01-05,841,95,1.024
2021-01-05,842,100,1.176
2021-01-05,842,95,1.024
2021-01-05,843,100,1.176
2021-01-05,843,95,1.024
2021-01-05,844,100,1.249
2021-01-05,844,95,1.069
2021-01-05,845,100,1.249
2021-01-05,845,95,1.069
2021-01-05,846,100,1.176
2021-01-05,846,95,1.024
2021-01-05,847,95,1.069
2021-01-05,848,95,1.069
2021-01-05,849,100,1.176
2021-01-05,849,95,1.024
2021-01-05,850,100,1.176
2021-01-05,850,95,1.024
2021-01-05,851,100,1.176
2021-01-05,851,95,1.024
2021-01-05,852,95,1.024
2021-01-05,853,100,1.176
2021-01-05,853,95,1.024
2021-01-05,854,100,1.176
2021-01-05,854,95,1.024
2021-01-05,855,100,1.176
2021-01-05,855,95,1.024
2021-01-05,856,100,1.176
2021-01-05,856,95,1.024
2021-01-05,857,100,1.176
2021-01-05,857,95,1.024
2021-01-05,858,100,1.176
2021-01-05,858,95,1.024
2021-01-05,859,95,1.024
2021-01-05,860,100,1.176
2021-01-05,860,95,1.024
2021-01-05,861,100,1.249
2021-01-05,861,95,1.069
2021-01-05,862,100,1.176
2021-01-05,862,95,1.024
2021-01-05,863,100,1.249
2021-01-05,863,95,1.049
2021-01-05,864,100,1.249
2021-01-05,864,95,1.049
2021-01-05,865,100,1.176
2021-01-05,865,95,1.024
2021-01-05,866,100,1.176
2021-01-05,866,95,1.024
2021-01-05,867,100,1.176
2021-01-05,867,95,1.024
2021-01-05,868,100,1.176
2021-01-05,868,95,1.024
2021-01-05,869,100,1.176
2021-01-05,869,95,1.024
2021-01-05,870,100,1.176
2021-01-05,870,95,1.024
2021-01-05,871,100,1.176
2021-01-05,871,95,1.024
2021-01-05,872,100,1.176
2021-01-05,872,95,1.024
2021-01-05,873,100,1.176
2021-01-05,873,95,1.024
2021-01-05,874,100,1.176
2021-01-05,874,95,1.024
2021-01-05,875,100,1.176
2021-01-05,875,95,1.024
2021-01-05,876,100,1.176
2021-01-05,876,95,1.024
2021-01-05,1548,100,1.175
2021-01-05,1548,95,1.025
2021-01-05,1549,100,1.175
2021-01-05,1549,95,1.025
2021-01-05,1550,100,1.175
2021-01-05,1550,95,1.025
2021-01-05,1551,100,1.175
2021-01-05,1551,95,1.025
2021-01-05,1552,100,1.175
2021-01-05,1552,95,1.025
2021-01-05,1553,100,1.175
2021-01-05,1553,95,1.025
2021-01-05,1554,100,1.175
2021-01-05,1554,95,1.025
2021-01-05,1555,100,1.175
2021-01-05,1555,95,1.025
2021-01-05,1556,100,1.175
2021-01-05,1556,95,1.025
2021-01-05,1557,100,1.175
2021-01-05,1557,95,1.025
2021-01-05,1558,100,1.175
2021-01-05,1558,95,1.025
2021-01-05,1559,100,1.235
2021-01-05,1559,95,1.065
2021-01-05,1559,dizel,1.128
2021-01-05,1559,dizel-premium,1.359
2021-01-05,1560,100,1.175
2021-01-05,1560,95,1.025
2021-01-05,1561,100,1.175
2021-01-05,1561,95,1.025
2021-01-05,1561,KOEL,0.876
2021-01-05,1562,100,1.175
2021-01-05,1562,95,1.025
2021-01-05,1563,100,1.175
2021-01-05,1563,95,1.025
2021-01-05,1564,100,1.175
2021-01-05,1564,95,1.025
2021-01-05,1565,100,1.175
2021-01-05,1565,95,1.025
2021-01-05,1566,100,1.175
2021-01-05,1566,95,1.025
2021-01-05,1567,100,1.175
2021-01-05,1567,95,1.025
2021-01-05,1568,100,1.235
2021-01-05,1568,95,1.065
2021-01-05,1568,dizel,1.128
2021-01-05,1568,dizel-premium,1.359
2021-01-05,1569,100,1.175
2021-01-05,1569,95,1.025
2021-01-05,1570,100,1.175
2021-01-05,1570,95,1.025
2021-01-05,1571,100,1.175
2021-01-05,1571,95,1.025
2021-01-05,1572,100,1.175
2021-01-05,1572,95,1.025
2021-01-05,1573,100,1.175
2021-01-05,1573,95,1.025
2021-01-05,1574,100,1.175
2021-01-05,1574,95,1.025
2021-01-05,1575,100,1.175
2021-01-05,1575,95,1.025
2021-01-05,1576,100,1.175
2021-01-05,1576,95,1.025
2021-01-05,1577,100,1.175
2021-01-05,1577,95,1.025
2021-01-05,1578,100,1.175
2021-01-05,1578,95,1.025
2021-01-05,1579,100,1.175
2021-01-05,1579,95,1.025
2021-01-05,1580,100,1.175
2021-01-05,1580,95,1.025
2021-01-05,1581,100,1.175
2021-01-05,1581,95,1.025
2021-01-05,1582,100,1.175
2021-01-05,1582,95,1.025
2021-01-05,1582,KOEL,0.876
2021-01-05,1583,100,1.175
2021-01-05,1583,95,1.025
2021-01-05,1583,KOEL,0.876
2021-01-05,1584,100,1.175
2021-01-05,1584,95,1.025
2021-01-05,1584,KOEL,0.876
2021-01-05,1585,100,1.175
2021-01-05,1585,95,1.025
2021-01-05,1586,100,1.175
2021-01-05,1586,95,1.025
2021-01-05,1586,KOEL,0.876
2021-01-05,1587,100,1.175
2021-01-05,1587,95,1.025
2021-01-05,1587,KOEL,0.876
2021-01-05,1588,100,1.175
2021-01-05,1588,95,1.025
2021-01-05,1588,KOEL,0.876
2021-01-05,1589,100,1.175
2021-01-05,1589,95,1.025
2021-01-05,1590,100,1.175
2021-01-05,1590,95,1.025
2021-01-05,1591,100,1.175
2021-01-05,1591,95,1.025
2021-01-05,1592,100,1.175
2021-01-05,1592,95,1.025
2021-01-05,1592,KOEL,0.876
2021-01-05,1593,100,1.175
2021-01-05,1593,95,1.025
2021-01-05,1921,100,1.152
2021-01-05,1921,95,1.018
2021-01-05,1921,dizel,1.086
2021-01-05,1922,95,1.018
2021-01-05,1922,dizel,1.086
2021-01-05,1923,100,1.202
2021-01-05,1923,95,1.067
2021-01-05,1924,95,1.018
2021-01-05,1924,dizel,1.086
2021-01-05,1925,95,1.018
2021-01-05,1925,dizel,1.086
2021-01-05,1926,95,1.018
2021-01-05,1926,dizel,1.086
2021-01-05,1927,95,1.018
2021-01-05,1927,dizel,1.086
2021-01-05,1928,100,1.152
2021-01-05,1928,95,1.018
2021-01-05,1928,dizel,1.086
2021-01-05,1929,100,1.152
2021-01-05,1929,95,1.018
2021-01-05,1929,dizel,1.086
2021-01-05,1930,95,1.018
2021-01-05,1930,dizel,1.086
2021-01-05,1931,95,1.018
2021-01-05,1931,dizel,1.086
2021-01-05,1932,95,1.018
2021-01-05,1932,dizel,1.086
