pk,name,address,zip_code,lat,lng,method,gurs_address,gurs_lat,gurs_lng,distance_m,error
1958,PETROL KANAL OB SOČI,KIDRIČEVA CESTA 10A,5213,46.08786527,13.63259475,address,"Kidričeva cesta 10a, 5213 Kanal",46.08791,13.63276,14,
1959,PETROL ŠEMPETER PRI GORICI - PREKOMORSKIH BRIGAD,CESTA PREKOMORSKIH BRIGAD 64A,5290,45.93235392,13.63826623,address,"Cesta Prekomorskih brigad 64a, 5290 Šempeter pri Gorici",45.93235,13.63837,8,
1960,PETROL MIREN,MIREN 13D,5291,45.898043,13.608726,address,"Miren 13d, 5291 Miren",45.89797,13.60886,13,
1961,PETROL LJUTOMER,PREŠERNOVA ULICA 19,9240,46.52201409,16.19426906,address,"Prešernova ulica 19, 9240 Ljutomer",46.52201,16.19427,0,
1962,PETROL LENDAVA,KOLODVORSKA ULICA 8A,9220,46.55996722,16.44790177,address,"Kolodvorska ulica / Vasut utca 8a, 9220 Lendava - Lendva",46.56011,16.44752,33,
1963,PETROL ROGAŠOVCI,SVETI JURIJ 7A,9262,46.798925,16.03618722,address,"Sveti Jurij 7a, 9262 Rogašovci",46.79881,16.03583,30,
1964,PETROL DOLNJI LAKOŠ,GLAVNA ULICA 3,9220,46.55372124,16.44233518,reverse,"Glavna ulica / Fő utca 3, 9220 Lendava - Lendva",46.55379,16.44213,17,multiple addresses match
1965,PETROL RADENCI,RADGONSKA CESTA 14,9252,46.64504675,16.03435514,address,"Radgonska cesta 14, 9252 Radenci",46.64502,16.03414,17,
1966,PETROL BELTINCI,PANONSKA ULICA 2B,9231,46.6116377,16.22745614,address,"Panonska ulica 2b, 9231 Beltinci",46.61163,16.22722,18,
1967,PETROL KRIŽEVCI,KLJUČAROVCI PRI LJUTOMERU 83,9242,46.55783512,16.14313338,address,"Ključarovci pri Ljutomeru 83, 9242 Križevci pri Ljutomeru",46.55783,16.14290,18,
1968,PETROL DOBROVNIK,DOBROVNIK 4A,9223,46.65099893,16.35338368,address,"Dobrovnik / Dobronak 4a, 9223 Dobrovnik - Dobronak",46.65098,16.35325,10,
1969,PETROL ODRANCI,NASELJE GREDICE 1A,9233,46.58197141,16.28224598,address,"Naselje Gredice 1a, 9233 Odranci",46.58197,16.28201,18,
1970,PETROL GORNJA RADGONA - MELE,LJUTOMERSKA CESTA 36,9250,46.66198841,16.01446177,address,"Ljutomerska cesta 36, 9250 Gornja Radgona",46.66215,16.01372,59,
1971,PETROL MARTJANCI,MARTJANCI 83B,9221,46.68760198,16.19649434,address,"Martjanci 83b, 9221 Martjanci",46.68758,16.19626,18,
1972,PETROL MURSKA SOBOTA - TIŠINSKA JUG,TIŠINSKA ULICA 29D,9000,46.651421,16.14565,address,"Tišinska ulica 29d, 9000 Murska Sobota",46.65162,16.14582,26,
1973,PETROL GODOVIČ,GODOVIČ 2B,5275,45.95665729,14.09433635,address,"Godovič 2b, 5275 Godovič",45.95667,14.09439,4,
1974,PETROL CANKOVA,CANKOVA 35,9261,46.71906544,16.02095244,address,"Cankova 35, 9261 Cankova",46.71920,16.02083,18,
1975,PETROL KUZMA,KUZMA 26B,9263,46.834052,16.081947,address,"Kuzma 26b, 9263 Kuzma",46.83368,16.08227,48,
1976,PETROL GRABONOŠ AC - SEVER,GRABONOŠ 4D,9244,46.585173,16.007142,address,"Grabonoš 4d, 9244 Sveti Jurij ob Ščavnici",46.58494,16.00723,27,
1977,PETROL MARIBOR - AC ZAHOD,NA POLJU 24,2000,46.532935,15.699297,address,"Na polju 24, 2000 Maribor",46.53345,15.69938,58,
1978,PETROL MARIBOR - AC VZHOD,NA POLJU 20,2000,46.531265,15.701209,address,"Na polju 20, 2000 Maribor",46.53078,15.70066,68,
1979,PETROL VUČJA VAS,BUČEČOVCI 4B,9242,46.590862,16.107841,address,"Bučečovci 4b, 9242 Križevci pri Ljutomeru",46.59083,16.10784,4,
1980,PETROL DORNBERK,DRAGA 18A,5294,45.88507011,13.73292985,address,"Draga 18a, 5294 Dornberk",45.88507,13.73302,7,
1981,PETROL NOVA GORICA - GRČNA,VOJKOVA CESTA 68,5000,45.95320889,13.65237464,address,"Vojkova cesta 68, 5000 Nova Gorica",45.95314,13.65230,10,
1982,PETROL AJDOVŠČINA - GORIŠKA,GORIŠKA CESTA 29,5270,45.88663093,13.89897002,address,"Goriška cesta 29, 5270 Ajdovščina",45.88664,13.89904,6,
1983,PETROL GOLO BRDO V BRDIH,GOLO BRDO 10B,5212,46.054382,13.497999,address,"Golo Brdo 10b, 5212 Dobrovo v Brdih",46.05437,13.49797,3,
1984,PETROL NOVA GORICA - VOJKOVA ZAHOD,VOJKOVA CESTA 52,5000,45.96223076,13.64898236,address,"Vojkova cesta 52, 5000 Nova Gorica",45.96222,13.64908,8,
1985,PETROL ŠEMPAS,ŠEMPAS 161A,5261,45.93039187,13.73978149,address,"Šempas 161a, 5261 Šempas",45.93039,13.73987,7,
1986,PETROL BOVEC,DVOR 44,5230,46.33279417,13.54135681,address,"Dvor 44, 5230 Bovec",46.33275,13.54144,8,
1987,PETROL ČRNI VRH,ČRNI VRH 121,5274,45.92556913,14.05336933,address,"Črni Vrh 121, 5274 Črni Vrh nad Idrijo",45.92558,14.05342,4,
1988,PETROL DESKLE,SREBRNIČEVA ULICA 4,5210,46.05406598,13.61904093,address,"Srebrničeva ulica 4, 5210 Deskle",46.05409,13.61912,7,
1989,PETROL TOLMIN,TRG MARŠALA TITA 18,5220,46.18282816,13.73383929,address,"Trg maršala Tita 18, 5220 Tolmin",46.18281,13.73391,6,
1990,"PETROL KOPER, SERMIN",SERMIN 7D,6000,45.55178982,13.76037054,address,"Sermin / Sermin 7d, 6000 Koper - Capodistria",45.55183,13.76048,10,
1991,PETROL PODBRDO,PODBRDO 60C,5243,46.206127,13.959792,address,"Podbrdo 60c, 5243 Podbrdo",46.20611,13.95984,4,
1992,PETROL LIPICA,LIPICA 26,6210,45.6554886,13.88112209,address,"Lipica 26, 6210 Sežana",45.65552,13.88122,8,
1993,PETROL SEŽANA,PARTIZANSKA CESTA 147,6210,45.702385,13.84361,address,"Partizanska cesta 147, 6210 Sežana",45.70242,13.84341,16,
1994,PETROL JAGODJE - JUG,JAGODJE 10,6310,45.52451738,13.6508096,address,"Jagodje / Jagodje 10, 6310 Izola - Isola",45.52456,13.65093,11,
1995,PETROL ILIRSKA BISTRICA,VILHARJEVA CESTA 33C,6250,45.575503,14.23202,address,"Vilharjeva cesta 33c, 6250 Ilirska Bistrica",45.57541,14.23204,10,
1996,PETROL POSTOJNA,REŠKA CESTA 5,6230,45.76695944,14.19834697,address,"Reška cesta 5, 6230 Postojna",45.76698,14.19839,4,
1997,PETROL VRTOJBA AC - SEVER,MEDNARODNI PREHOD 1A,5290,45.920547,13.628483,address,"Mednarodni prehod 1a, 5290 Šempeter pri Gorici",45.92049,13.62827,18,
1998,PETROL JAGODJE - SEVER,JAGODJE 9,6310,45.52595915,13.64867549,address,"Jagodje / Jagodje 9, 6310 Izola - Isola",45.52620,13.64906,40,
1999,PETROL CERKNO,GORIŠKA CESTA 37,5282,46.11808413,13.97148427,address,"Goriška cesta 37, 5282 Cerkno",46.11807,13.97154,5,
2000,PETROL VRTOJBA AC - JUG,MEDNARODNI PREHOD 4A,5290,45.91934,13.627636,address,"Mednarodni prehod 4a, 5290 Šempeter pri Gorici",45.91933,13.62774,8,
2001,PETROL VIPAVA,GORIŠKA CESTA 41,5271,45.8488706,13.95468545,address,"Goriška cesta 41, 5271 Vipava",45.84889,13.95476,6,
2002,PETROL AJŠEVICA,AJŠEVICA 19,5000,45.9530272,13.69107053,address,"Ajševica 19, 5000 Nova Gorica",45.95311,13.69089,17,
2003,PETROL CERKNICA,CESTA 4. MAJA 3A,1380,45.78853568,14.36984285,address,"Cesta 4. maja 3a, 1380 Cerknica",45.78857,14.36986,4,
2004,PETROL KOPER - ŠMARSKA,ŠMARSKA CESTA 5F,6000,45.53250448,13.73568232,address,"Šmarska cesta / Strada di Šmarje 5f, 6000 Koper - Capodistria",45.53255,13.73579,10,
2005,"PETROL IZOLA, INDUSTRIJSKA",INDUSTRIJSKA CESTA 9B,6310,45.535631,13.671735,address,"Industrijska cesta / Strada dell'Industria 9b, 6310 Izola - Isola",45.53549,13.67157,20,
2006,PETROL HRPELJE,REŠKA CESTA 51,6240,45.604489,13.949959,address,"Reška cesta 51, 6240 Kozina",45.60471,13.95004,25,
2007,PETROL ŠTALONI,KOZARNO 1B,5212,46.00171653,13.51782499,address,"Kozarno 1b, 5212 Dobrovo v Brdih",46.00171,13.51794,9,
2008,PETROL ŠEMPAS AC - JUG,ŠEMPAS 160C,5261,45.917,13.719403,address,"Šempas 160c, 5261 Šempas",45.91700,13.71950,8,
2009,PETROL KOZINA AC - VZHOD,BAZOVIŠKA CESTA 23A,6240,45.60515,13.928699,address,"Bazoviška cesta 23a, 6240 Kozina",45.60497,13.92867,20,
2010,PETROL ORMOŽ,KOLODVORSKA CESTA 5,2270,46.40764081,16.15117853,address,"Kolodvorska cesta 5, 2270 Ormož",46.40765,16.15096,17,
2011,PETROL PTUJ - ORMOŠKA 25,ORMOŠKA CESTA 25,2250,46.41703099,15.8826979,address,"Ormoška cesta 25, 2250 Ptuj",46.41704,15.88251,14,
2012,PETROL HAJDOŠE,HAJDOŠE 43D,2288,46.42559375,15.82734335,address,"Hajdoše 43d, 2288 Hajdina",46.42561,15.82737,3,
2013,PETROL MAJŠPERK,MAJŠPERK 55A,2322,46.3487854,15.73672014,address,"Majšperk 55a, 2322 Majšperk",46.34875,15.73664,7,
2014,PETROL PTUJ - ORMOŠKA 26/B,ORMOŠKA CESTA 26B,2250,46.41676013,15.88049476,address,"Ormoška cesta 26b, 2250 Ptuj",46.41671,15.88022,22,
2015,PETROL PTUJ - OSOJNIKOVA,OSOJNIKOVA CESTA 10,2250,46.42711936,15.8836554,address,"Osojnikova cesta 10, 2250 Ptuj",46.42712,15.88347,14,
2016,PETROL AJDOVŠČINA - VIPAVSKA,VIPAVSKA CESTA 4C,5270,45.88288,13.90989,address,"Vipavska cesta 4c, 5270 Ajdovščina",45.88272,13.91091,81,
2017,PETROL DOLGA VAS,GLAVNA ULICA 200,9220,46.59372345,16.46019878,address,"Glavna ulica / Fő utca 200, 9220 Lendava - Lendva",46.59372,16.45992,21,
2018,PETROL MURSKA SOBOTA AC - SEVER,BAKOVSKA ULICA 53,9000,46.635944,16.166272,address,"Bakovska ulica 53, 9000 Murska Sobota",46.63593,16.16604,18,
2019,PETROL MURSKA SOBOTA AC - JUG,BAKOVSKA ULICA 51,9000,46.634461,16.164346,address,"Bakovska ulica 51, 9000 Murska Sobota",46.63450,16.16416,15,
2020,PETROL VOSEK,VOSEK 22A,2231,46.59570289,15.70616915,address,"Vosek 22a, 2231 Pernica",46.59571,15.70636,15,
2021,PETROL SLOVENSKA BISTRICA - LJUBLJANSKA KROŽIŠČE,LJUBLJANSKA CESTA 45,2310,46.387184,15.569006,address,"Ljubljanska cesta 45, 2310 Slovenska Bistrica",46.38702,15.56911,20,
2022,PETROL PTUJ - ZAGREBŠKA,ZAGREBŠKA CESTA 49B,2250,46.40705215,15.866315,address,"Zagrebška cesta 49b, 2250 Ptuj",46.40706,15.86613,14,
2023,PETROL MARIBOR - PUHOVA,PUHOVA ULICA 3,2000,46.54782826,15.67767389,address,"Puhova ulica 3, 2000 Maribor",46.54781,15.67752,12,
2024,PETROL PTUJ - DORNAVSKA,DORNAVSKA CESTA 6B,2250,46.42336766,15.88908401,address,"Dornavska cesta 6b, 2250 Ptuj",46.42587,15.89347,436,
2025,PETROL MARIBOR - TRŽAŠKA 11,TRŽAŠKA CESTA 11,2000,46.53817035,15.64737991,address,"Tržaška cesta 11, 2000 Maribor",46.53831,15.64736,16,
2026,PETROL LORMANJE AC - JUG,LORMANJE 22C,2230,46.564825,15.826899,address,"Lormanje 22c, 2230 Lenart v Slov. goricah",46.56433,15.82701,56,
2027,PETROL PINCE AC - JUG,PINCE-MAROF 55,9220,46.521752,16.51791,address,"Pince-Marof / Pince major 55, 9220 Lendava - Lendva",46.52175,16.51792,1,
2028,PETROL SLIVNICA VZHOD,LJUBLJANSKA CESTA 61,2311,46.493923,15.652196,address,"Ljubljanska cesta 61, 2311 Hoče",46.49431,15.65252,50,
2029,PETROL MURSKA SOBOTA - PLESE,PANONSKA ULICA 5,9000,46.656739,16.178624,reverse,"Panonska ulica 5, 9000 Murska Sobota",46.65676,16.17853,8,multiple addresses match
2030,PETROL POVIR AC - JUG,POVIR 95,6210,45.703393,13.940151,address,"Povir 95, 6210 Sežana",45.70342,13.94024,8,
2031,PETROL POVIR AC - SEVER,POVIR 96,6210,45.703632,13.941688,address,"Povir 96, 6210 Sežana",45.70378,13.94177,18,
2032,PETROL VIPAVA AC - SEVER,GORIŠKA CESTA 3A,5271,45.829264,13.958807,address,"Goriška cesta 3a, 5271 Vipava",45.82934,13.95865,15,
2033,PETROL PIVKA,POSTOJNSKA CESTA 20A,6257,45.68611881,14.19717139,address,"Postojnska cesta 20a, 6257 Pivka",45.68610,14.19717,2,
2034,PETROL KOPER - KOLODVORSKA,KOLODVORSKA CESTA 3A,6000,45.542714,13.735513,address,"Kolodvorska cesta / Strada della Stazione 3a, 6000 Koper - Capodistria",45.54270,13.73555,3,
2035,PETROL IZOLA MANDRAČ,VELIKI TRG 0N,6310,45.538539,13.65634,reverse,"Veliki trg / Piazza Grande 1, 6310 Izola - Isola",45.53823,13.65711,69,missing house number
2036,PETROL LJUBLJANA - CELOVŠKA 226,CELOVŠKA CESTA 226,1000,46.081849,14.479525,address,"Celovška cesta 226, 1000 Ljubljana",46.08183,14.47968,12,
2037,PETROL LJUBLJANA - RAKOVNIK,DOLENJSKA CESTA 136A,1000,46.03323598,14.52693479,address,"Dolenjska cesta 136a, 1000 Ljubljana",46.03325,14.52693,2,
2038,PETROL LJUBLJANA - ŠMARTINSKA 45,ŠMARTINSKA CESTA 45,1000,46.0630141,14.52518352,address,"Šmartinska cesta 45, 1000 Ljubljana",46.06305,14.52525,6,
2039,PETROL LJUBLJANA - DUNAJSKA 130,DUNAJSKA CESTA 130,1000,46.078052,14.512668,address,"Dunajska cesta 130, 1000 Ljubljana",46.07815,14.51270,11,
