ts,station_pk,franchise_pk
2020-10-01T13:18:30Z,1977,1
2020-10-01T13:18:30Z,1978,1
2020-10-01T13:18:30Z,1979,1
2020-10-01T13:18:30Z,1980,1
2020-10-01T13:18:30Z,1981,1
2020-10-01T13:18:30Z,1982,1
2020-10-01T13:18:30Z,1983,1
2020-10-01T13:18:30Z,1984,1
2020-10-01T13:18:30Z,1985,1
2020-10-01T13:18:30Z,1986,1
2020-10-01T13:18:30Z,1987,1
2020-10-01T13:18:30Z,1988,1
2020-10-01T13:18:30Z,1989,1
2020-10-01T13:18:30Z,1990,1
2020-10-01T13:18:30Z,1991,1
2020-10-01T13:18:30Z,1992,1
2020-10-01T13:18:30Z,1993,1
2020-10-01T13:18:30Z,1994,1
2020-10-01T13:18:30Z,1995,1
2020-10-01T13:18:30Z,1996,1
2020-10-01T13:18:30Z,1997,1
2020-10-01T13:18:30Z,1998,1
2020-10-01T13:18:30Z,1999,1
2020-10-01T13:18:30Z,2000,1
2020-10-01T13:18:30Z,2001,1
2020-10-01T13:18:30Z,2002,1
2020-10-01T13:18:30Z,2003,1
2020-10-01T13:18:30Z,2004,1
2020-10-01T13:18:30Z,2005,1
2020-10-01T13:18:30Z,2006,1
2020-10-01T13:18:30Z,2007,1
2020-10-01T13:18:30Z,2008,1
2020-10-01T13:18:30Z,2009,1
2020-10-01T13:18:30Z,2010,1
2020-10-01T13:18:30Z,2011,1
2020-10-01T13:18:30Z,2012,1
2020-10-01T13:18:30Z,2013,1
2020-10-01T13:18:30Z,2014,1
2020-10-01T13:18:30Z,2015,1
2020-10-01T13:18:30Z,2016,1
2020-10-01T13:18:30Z,2017,1
2020-10-01T13:18:30Z,2018,1
2020-10-01T13:18:30Z,2019,1
2020-10-01T13:18:30Z,2020,1
2020-10-01T13:18:30Z,2021,1
2020-10-01T13:18:30Z,2022,1
2020-10-01T13:18:30Z,2023,1
2020-10-01T13:18:30Z,2024,1
2020-10-01T13:18:30Z,2025,1
2020-10-01T13:18:30Z,2026,1
2020-10-01T13:18:30Z,2027,1
2020-10-01T13:18:30Z,2028,1
2020-10-01T13:18:30Z,2029,1
2020-10-01T13:18:30Z,2030,1
2020-10-01T13:18:30Z,2031,1
2020-10-01T13:18:30Z,2032,1
2020-10-01T13:18:30Z,2033,1
2020-10-01T13:18:30Z,2034,1
2020-10-01T13:18:30Z,2035,1
2020-10-01T13:18:30Z,2036,1
2020-10-01T13:18:30Z,2037,1
2020-10-01T13:18:30Z,2038,1
2020-10-01T13:18:30Z,2039,1
2020-10-01T13:18:30Z,2040,1
2020-10-01T13:18:30Z,2041,1
2020-10-01T13:18:30Z,2042,1
2020-10-01T13:18:30Z,2043,1
2020-10-01T13:18:30Z,2044,1
2020-10-01T13:18:30Z,2045,1
2020-10-01T13:18:30Z,2046,1
2020-10-01T13:18:30Z,2047,1
2020-10-01T13:18:30Z,2048,1
2020-10-01T13:18:30Z,2049,1
2020-10-01T13:18:30Z,2050,1
2020-10-01T13:18:30Z,2051,1
2020-10-01T13:18:30Z,2052,1
2020-10-01T13:18:30Z,2053,1
2020-10-01T13:18:30Z,2054,1
2020-10-01T13:18:30Z,2055,1
2020-10-01T13:18:30Z,2056,1
2020-10-01T13:18:30Z,2057,1
2020-10-01T13:18:30Z,2058,1
2020-10-01T13:18:30Z,2059,1
2020-10-01T13:18:30Z,2060,1
2020-10-01T13:18:30Z,2061,1
2020-10-01T13:18:30Z,2062,1
2020-10-01T13:18:30Z,2063,1
2020-10-01T13:18:30Z,2064,1
2020-10-01T13:18:30Z,2065,1
2020-10-01T13:18:30Z,2066,1
2020-10-01T13:18:30Z,2067,1
2020-10-01T13:18:30Z,2068,1
2020-10-01T13:18:30Z,2069,1
2020-10-01T13:18:30Z,2070,1
2020-10-01T13:18:30Z,2071,1
2020-10-01T13:18:30Z,2072,1
2020-10-01T13:18:30Z,2073,1
2020-10-01T13:18:30Z,2074,1
2020-10-01T13:18:30Z,2075,1
2020-10-01T13:18:30Z,2076,1
2020-10-01T13:18:30Z,2077,1
2020-10-01T13:18:30Z,2078,1
2020-10-01T13:18:30Z,2079,1
2020-10-01T13:18:30Z,2080,1
2020-10-01T13:18:30Z,2081,1
2020-10-01T13:18:30Z,2082,1
2020-10-01T13:18:30Z,2083,1
2020-10-01T13:18:30Z,2084,1
2020-10-01T13:18:30Z,2085,1
2020-10-01T13:18:30Z,2086,1
2020-10-01T13:18:30Z,2087,1
2020-10-01T13:18:30Z,2088,1
2020-10-01T13:18:30Z,2089,1
2020-10-01T13:18:30Z,2090,1
2020-10-01T13:18:30Z,2091,1
2020-10-01T13:18:30Z,2092,1
2020-10-01T13:18:30Z,2093,1
2020-10-01T13:18:30Z,2094,1
2020-10-01T13:18:30Z,2095,1
2020-10-01T13:18:30Z,2096,1
2020-10-01T13:18:30Z,2097,1
2020-10-01T13:18:30Z,2098,1
2020-10-01T13:18:30Z,2099,1
2020-10-01T13:18:30Z,2100,1
2020-10-01T13:18:30Z,2101,1
2020-10-01T13:18:30Z,2102,1
2020-10-01T13:18:30Z,2103,1
2020-10-01T13:18:30Z,2104,1
2020-10-01T13:18:30Z,2105,1
2020-10-01T13:18:30Z,2106,1
2020-10-01T13:18:30Z,2107,1
2020-10-01T13:18:30Z,2108,1
2020-10-01T13:18:30Z,2109,1
2020-10-01T13:18:30Z,2110,1
2020-10-01T13:18:30Z,2111,1
2020-10-01T13:18:30Z,2112,1
2020-10-01T13:18:30Z,2113,1
2020-10-01T13:18:30Z,2114,1
2020-10-01T13:18:30Z,2115,1
2020-10-01T13:18:30Z,2116,1
2020-10-01T13:18:30Z,2117,1
2020-10-01T13:18:30Z,2118,1
2020-10-01T13:18:30Z,2119,1
2020-10-01T13:18:30Z,2120,1
2020-10-01T13:18:30Z,2121,1
2020-10-01T13:18:30Z,2122,1
2020-10-01T13:18:30Z,2123,1
2020-10-01T13:18:30Z,2124,1
2020-10-01T13:18:30Z,2125,1
2020-10-01T13:18:30Z,2126,1
2020-10-01T13:18:30Z,2127,1
2020-10-01T13:18:30Z,2128,1
2020-10-01T13:18:30Z,2129,1
2020-10-01T13:18:30Z,2130,1
2020-10-01T13:18:30Z,2131,1
2020-10-01T13:18:30Z,2132,1
2020-10-01T13:18:30Z,2133,1
2020-10-01T13:18:30Z,2134,1
2020-10-01T13:18:30Z,2135,1
2020-10-01T13:18:30Z,2136,1
2020-10-01T13:18:30Z,2137,1
2020-10-01T13:18:30Z,2138,1
2020-10-01T13:18:30Z,2139,1
2020-10-01T13:18:30Z,2140,1
2020-10-01T13:18:30Z,2141,1
2020-10-01T13:18:30Z,2142,1
2020-10-01T13:18:30Z,2143,1
2020-10-01T13:18:30Z,2144,1
2020-10-01T13:18:30Z,2145,1
2020-10-01T13:18:30Z,2146,1
2020-10-01T13:18:30Z,2147,1
2020-10-01T13:18:30Z,2148,1
2020-10-01T13:18:30Z,2149,1
2020-10-01T13:18:30Z,2150,1
2020-10-01T13:18:30Z,2151,1
2020-10-01T13:18:30Z,2152,1
2020-10-01T13:18:30Z,2153,1
2020-10-01T13:18:30Z,2154,1
2020-10-01T13:18:30Z,2155,1
2020-10-01T13:18:30Z,2156,1
2020-10-01T13:18:30Z,2157,1
2020-10-01T13:18:30Z,2158,1
2020-10-01T13:18:30Z,2159,1
2020-10-01T13:18:30Z,2160,1
2020-10-01T13:18:30Z,2161,1
2020-10-01T13:18:30Z,2162,1
2020-10-01T13:18:30Z,2163,1
2020-10-01T13:18:30Z,2164,1
2020-10-01T13:18:30Z,2165,1
2020-10-01T13:18:30Z,2166,1
2020-10-01T13:18:30Z,2167,1
2020-10-01T13:18:30Z,2168,1
2020-10-01T13:18:30Z,2169,1
2020-10-01T13:18:30Z,2170,1
2020-10-01T13:18:30Z,2171,1
2020-10-01T13:18:30Z,2172,1
2020-10-01T13:18:30Z,2173,1
2020-10-01T13:18:30Z,2174,1
2020-10-01T13:18:30Z,2175,1
2020-10-01T13:18:30Z,2176,1
2020-10-01T13:18:30Z,2177,1
2020-10-01T13:18:30Z,2178,1
2020-10-01T13:18:30Z,2179,1
2020-10-01T13:18:30Z,2180,1
2020-10-01T13:18:30Z,2181,1
2020-10-01T13:18:30Z,2182,1
2020-10-01T13:18:30Z,2183,1
2020-10-01T13:18:30Z,2184,1
2020-10-01T13:18:30Z,2185,1
2020-10-01T13:18:30Z,2186,1
2020-10-01T13:18:30Z,2187,1
2020-10-01T13:18:30Z,2188,1
2020-10-01T13:18:30Z,2189,1
2020-10-01T13:18:30Z,2190,1
2020-10-01T13:18:30Z,2191,1
2020-10-01T13:18:30Z,2192,1
2020-10-01T13:18:30Z,2193,1
2020-10-01T13:18:30Z,2194,1
2020-10-01T13:18:30Z,2195,1
2020-10-01T13:18:30Z,2196,1
2020-10-01T13:18:30Z,2197,1
2020-10-01T13:18:30Z,2198,1
2020-10-01T13:18:30Z,2199,1
2020-10-01T13:18:30Z,2200,1
2020-10-01T13:18:30Z,2201,1
2020-10-01T13:18:30Z,2202,1
2020-10-01T13:18:30Z,2203,1
2020-10-01T13:18:30Z,2204,1
2020-10-01T13:18:30Z,2205,1
2020-10-01T13:18:30Z,2206,1
2020-10-01T13:18:30Z,2207,1
2020-10-01T13:18:30Z,2208,1
2020-10-01T13:18:30Z,2209,1
2020-10-01T13:18:30Z,2210,1
2020-10-01T13:18:30Z,2211,1
2020-10-01T13:18:30Z,2212,1
2020-10-01T13:18:30Z,2213,1
2020-10-01T13:18:30Z,2214,1
2020-10-01T13:18:30Z,2215,1
2020-10-01T13:18:30Z,2216,1
2020-10-01T13:18:30Z,2217,1
2020-10-01T13:18:30Z,2218,1
2020-10-01T13:18:30Z,2219,1
2020-10-01T13:18:30Z,2220,1
2020-10-01T13:18:30Z,2221,1
2020-10-01T13:18:30Z,2222,1
2020-10-01T13:18:30Z,2223,1
2020-10-01T13:18:30Z,2224,1
2020-10-01T13:18:30Z,2225,1
2020-10-01T13:18:30Z,2226,1
2020-10-01T13:18:30Z,2227,1
2020-10-01T13:18:30Z,2228,1
2020-10-01T13:18:30Z,2229,1
2020-10-01T13:18:30Z,2230,1
2020-10-01T13:18:30Z,2231,1
2020-10-01T13:18:30Z,2232,1
2020-10-01T13:18:30Z,2233,1
2020-10-01T13:18:30Z,2234,4
2020-10-01T13:18:30Z,2235,4
2020-10-01T13:18:30Z,2236,2
2020-10-01T13:18:30Z,2237,3
2020-10-01T13:18:30Z,2238,3
2020-10-01T13:18:30Z,2239,3
2020-10-01T13:18:30Z,2240,3
2020-10-01T13:18:30Z,2241,3
